"","pid","hid","sex","mastat","age","qfachi","lknbrd","paygu","region","wave","N","pay_lag","paych"
"208",10131396,2012189,1,6,24,4,1,2001.53967285156,1,2,2,1000.76983642578,1000.76983642578
"209",10131779,1011006,1,6,23,3,1,NA,1,1,2,NA,NA
"210",10131779,2012251,1,6,24,3,2,NA,1,2,2,NA,NA
"211",10137742,1011502,1,6,36,3,1,2501.92456054688,1,1,2,NA,NA
"212",10137742,2012324,1,6,37,3,1,2500,1,2,2,2501.92456054688,-1.924560546875
"213",10138862,1011596,1,1,50,5,1,NA,1,1,2,NA,NA
"214",10138862,2012391,1,1,51,5,2,NA,1,2,2,NA,NA
"215",10138897,1011596,2,1,49,7,1,433.333343505859,1,1,2,NA,NA
"216",10138897,2012391,2,1,50,7,1,390,1,2,2,433.333343505859,-43.3333435058594
"217",10138927,1011596,1,6,23,7,1,1482,1,1,2,NA,NA
"218",10138927,2012391,1,6,24,7,1,1469,1,2,2,1482,-13
"219",10141103,1011782,1,6,36,5,2,NA,1,1,2,NA,NA
"220",10141103,2012618,1,6,37,NA,NA,NA,1,2,2,NA,NA
"221",10141138,1011782,1,6,32,4,1,2301.77075195312,1,1,2,NA,NA
"222",10141138,2012618,1,6,33,4,1,2501.92456054688,1,2,2,2301.77075195312,200.15380859375
"223",10142223,1011871,1,3,68,7,1,NA,1,1,2,NA,NA
"224",10142223,2012758,1,3,68,7,1,NA,1,2,2,NA,NA
"225",10143343,1011979,2,2,32,5,1,1619.24560546875,1,1,2,NA,NA
"226",10143343,2012839,2,2,33,5,1,NA,1,2,2,1619.24560546875,NA
"227",10143378,1011979,1,2,30,7,1,770.5927734375,1,1,2,NA,NA
"228",10143378,2012839,1,2,31,7,1,NA,1,2,2,770.5927734375,NA
"229",10148949,1012436,2,6,38,7,1,NA,1,1,2,NA,NA
"230",10148949,2012979,2,6,39,7,1,NA,1,2,2,NA,NA
"231",10152296,1012711,1,1,77,7,2,NA,1,1,2,NA,NA
"232",10152296,2013045,1,1,78,7,1,NA,3,2,2,NA,NA
"233",10152326,1012711,2,1,75,7,1,NA,1,1,2,NA,NA
"234",10152326,2013045,2,1,76,7,1,NA,3,2,2,NA,NA
"235",10154531,1012908,2,6,27,7,2,NA,1,1,2,NA,NA
"236",10154531,2013185,2,6,27,7,2,NA,1,2,2,NA,NA
"237",10154906,1012932,1,1,41,6,1,1301.00073242188,1,1,2,NA,NA
"238",10154906,2013401,1,1,41,6,1,1269.66662597656,1,2,2,1301.00073242188,-31.3341064453125
"239",10154949,1012932,2,1,37,7,1,NA,1,1,2,NA,NA
"240",10154949,2013401,2,1,37,7,1,NA,1,2,2,NA,NA
"241",10155651,1012991,1,1,28,1,1,1334.02624511719,1,1,2,NA,NA
"242",10155651,2013754,1,1,29,1,1,1651.27026367188,1,2,2,1334.02624511719,317.244018554688
"243",10155686,1012991,2,1,24,2,1,1341.03161621094,1,1,2,NA,NA
"244",10155686,2013754,2,1,25,2,1,1692.3017578125,1,2,2,1341.03161621094,351.270141601562
"245",10160132,1013378,2,3,61,7,1,NA,1,1,2,NA,NA
"246",10160132,2014033,2,3,62,7,1,NA,1,2,2,NA,NA
"247",10161252,1013467,2,1,47,7,1,624,1,1,2,NA,NA
